,Airport_ID,Name,City,Country,IATA,Latitude,Longitude,Altitude,Timezone,DST,Tz_database_time_zone,Type,Source
0,1,Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689834590001,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports
1,2,Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports
2,3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344,5388,10,U,Pacific/Port_Moresby,airport,OurAirports
3,4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports
4,5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.44338035583496,147.22000122070312,146,10,U,Pacific/Port_Moresby,airport,OurAirports
5,6,Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.58383011818,143.669006348,19,10,U,Pacific/Port_Moresby,airport,OurAirports
6,7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports
7,8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport,OurAirports
8,9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports
9,10,Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.7032012939,251,-4,E,America/Thule,airport,OurAirports
10,11,Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210938,-18.07270050048828,6,0,N,Atlantic/Reykjavik,airport,OurAirports
11,12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.2833023071289,-14.401399612426758,76,0,N,Atlantic/Reykjavik,airport,OurAirports
12,13,Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports
13,14,Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports
14,15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.135299682617188,8,0,N,Atlantic/Reykjavik,airport,OurAirports
15,16,Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357056,171,0,N,Atlantic/Reykjavik,airport,OurAirports
16,17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports
17,18,Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport,OurAirports
18,19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports
19,20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430114746094,-20.27890014648437,326,0,N,Atlantic/Reykjavik,airport,OurAirports
20,21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625,630,-5,A,America/Toronto,airport,OurAirports
21,22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,,50.0564002991,-97.0325012207,760,-6,A,America/Winnipeg,airport,OurAirports
22,23,Halifax / CFB Shearwater Heliport,Halifax,Canada,,44.639702,-63.499401,144,-4,A,America/Halifax,airport,OurAirports
23,24,St. Anthony Airport,St. Anthony,Canada,YAY,51.3918991089,-56.083099365200006,108,-3.5,A,America/St_Johns,airport,OurAirports
24,25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports
25,26,Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports
26,27,Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672,71,-5,A,America/Toronto,airport,OurAirports
27,28,CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125,522,-5,A,America/Toronto,airport,OurAirports
28,29,Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936,59,-6,A,America/Winnipeg,airport,OurAirports
29,30,Campbell River Airport,Campbell River,Canada,YBL,49.950801849365234,-125.27100372314452,346,-8,A,America/Vancouver,airport,OurAirports
30,31,Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports
31,32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.138000488,90,-7,A,America/Edmonton,airport,OurAirports
32,33,Nanaimo Airport,Nanaimo,Canada,YCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,airport,OurAirports
33,34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.2963981628,-117.632003784,1624,-8,A,America/Vancouver,airport,OurAirports
34,35,Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203,108,-4,A,America/Halifax,airport,OurAirports
35,36,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299,132,-4,A,America/Halifax,airport,OurAirports
36,37,Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997,74,-7,A,America/Edmonton,airport,OurAirports
37,38,Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695,2595,-7,A,America/Edmonton,airport,OurAirports
38,39,Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.939002991,32,-8,A,America/Vancouver,airport,OurAirports
39,40,Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446,87,-5,A,America/Toronto,airport,OurAirports
40,41,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882,210,-5,A,America/Coral_Harbour,airport,OurAirports
41,42,Dawson City Airport,Dawson,Canada,YDA,64.04309844970703,-139.1280059814453,1215,-8,A,America/Vancouver,airport,OurAirports
42,43,Burwash Airport,Burwash,Canada,YDB,61.37110137939453,-139.04100036621094,2647,-8,A,America/Vancouver,airport,OurAirports
43,44,Princeton Airport,Princeton,Canada,,49.4681015015,-120.511001587,2298,-8,A,America/Vancouver,airport,OurAirports
44,45,Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492,72,-3.5,A,America/St_Johns,airport,OurAirports
45,46,Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681,2600,-8,A,America/Vancouver,airport,OurAirports
46,47,Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956054688,-100.052001953125,999,-6,A,America/Winnipeg,airport,OurAirports
47,48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.7422981262207,-120.18299865722656,2148,-7,A,America/Dawson_Creek,airport,OurAirports
48,49,Edmonton International Airport,Edmonton,Canada,YEG,53.3097000122,-113.580001831,2373,-7,A,America/Edmonton,airport,OurAirports
49,50,Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.0708007812,32,-6,A,America/Winnipeg,airport,OurAirports
50,51,Estevan Airport,Estevan,Canada,YEN,49.2103004456,-102.966003418,1905,-6,N,America/Regina,airport,OurAirports
51,52,Edson Airport,Edson,Canada,YET,53.5788993835,-116.464996338,3043,-7,A,America/Edmonton,airport,OurAirports
52,53,Eureka Airport,Eureka,Canada,YEU,79.9946975708,-85.814201355,256,-6,A,America/Winnipeg,airport,OurAirports
53,54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419921880001,-133.483001709,224,-7,A,America/Edmonton,airport,OurAirports
54,55,Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801,110,-5,A,America/Toronto,airport,OurAirports
55,56,Fredericton Airport,Fredericton,Canada,YFC,45.868900299072266,-66.53720092773438,68,-4,A,America/Halifax,airport,OurAirports
56,57,Forestville Airport,Forestville,Canada,YFE,48.74610137939453,-69.09719848632812,293,-5,A,America/Toronto,airport,OurAirports
57,58,Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.68199920654295,997,-6,A,America/Winnipeg,airport,OurAirports
58,59,Fort Resolution Airport,Fort Resolution,Canada,YFR,61.1808013916,-113.690002441,526,-7,A,America/Edmonton,airport,OurAirports
59,60,Fort Simpson Airport,Fort Simpson,Canada,YFS,61.76020050048828,-121.23699951171876,555,-7,A,America/Edmonton,airport,OurAirports
60,61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529983520508,-76.5969009399414,305,-5,A,America/Toronto,airport,OurAirports
61,62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.625301361083984,-77.7042007446289,639,-5,A,America/Toronto,airport,OurAirports
62,63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.7752990723,-64.4785995483,112,-5,A,America/Toronto,airport,OurAirports
63,64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830123901367,-86.93939971923828,1144,-5,A,America/Toronto,airport,OurAirports
64,65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169067383,-61.778099060058594,35,-5,A,America/Toronto,airport,OurAirports
65,66,Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.310997009,1175,-6,N,America/Regina,airport,OurAirports
66,67,Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202,1354,-6,A,America/Winnipeg,airport,OurAirports
67,68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212402344,-117.80599975585938,117,-7,A,America/Edmonton,airport,OurAirports
68,69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277,152,-7,A,America/Edmonton,airport,OurAirports
69,70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.1735992432,-79.93499755859999,780,-5,A,America/Toronto,airport,OurAirports
70,71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.5175018311,-73.4169006348,90,-5,A,America/Toronto,airport,OurAirports
71,72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131,541,-7,A,America/Edmonton,airport,OurAirports
72,73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.8807983398,-63.5085983276,477,-4,A,America/Halifax,airport,OurAirports
73,74,Atikokan Municipal Airport,Atikokan,Canada,YIB,48.7738990784,-91.6386032104,1408,-5,A,America/Coral_Harbour,airport,OurAirports
74,75,Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929,181,-5,A,America/Toronto,airport,OurAirports
75,76,St Jean Airport,St. Jean,Canada,YJN,45.29439926147461,-73.28109741210938,136,-5,A,America/Toronto,airport,OurAirports
76,77,Stephenville Airport,Stephenville,Canada,YJT,48.5442008972168,-58.54999923706055,84,-3.5,A,America/St_Johns,airport,OurAirports
77,78,Kamloops Airport,Kamloops,Canada,YKA,50.7022018433,-120.444000244,1133,-8,A,America/Vancouver,airport,OurAirports
78,79,Waterloo Airport,Waterloo,Canada,YKF,43.4608001709,-80.3786010742,1055,-5,A,America/Toronto,airport,OurAirports
79,80,Schefferville Airport,Schefferville,Canada,YKL,54.805301666259766,-66.8052978515625,1709,-5,A,America/Toronto,airport,OurAirports
80,81,Kindersley Airport,Kindersley,Canada,YKY,51.5175018311,-109.180999756,2277,-6,N,America/Regina,airport,OurAirports
81,82,Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169067383,-79.37000274658203,650,-5,A,America/Toronto,airport,OurAirports
82,83,Chapleau Airport,Chapleau,Canada,YLD,47.81999969482422,-83.3467025756836,1470,-5,A,America/Toronto,airport,OurAirports
83,84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.125301361083984,-108.52300262451172,1576,-6,N,America/Regina,airport,OurAirports
84,85,Lloydminster Airport,Lloydminster,Canada,YLL,53.309200286865234,-110.072998046875,2193,-7,A,America/Edmonton,airport,OurAirports
85,86,Alert Airport,Alert,Canada,YLT,82.51779937740001,-62.2806015015,100,-5,A,America/Toronto,airport,OurAirports
86,87,Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352,1421,-8,A,America/Vancouver,airport,OurAirports
87,88,Mayo Airport,Mayo,Canada,YMA,63.61640167236328,-135.8679962158203,1653,-8,A,America/Vancouver,airport,OurAirports
88,89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.330299377441406,-105.55899810791016,1892,-6,N,America/Regina,airport,OurAirports
89,90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301239,-111.222000122,1211,-7,A,America/Edmonton,airport,OurAirports
90,91,Moosonee Airport,Moosonee,Canada,YMO,51.29109954833984,-80.60780334472656,30,-5,A,America/Toronto,airport,OurAirports
91,92,Maniwaki Airport,Maniwaki,Canada,YMW,46.2728004456,-75.9906005859,656,-5,A,America/Toronto,airport,OurAirports
92,93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696,270,-5,A,America/Toronto,airport,OurAirports
93,94,Natashquan Airport,Natashquan,Canada,YNA,50.18999862670898,-61.78919982910156,39,-5,A,America/Toronto,airport,OurAirports
94,95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.5217018127,-75.5635986328,211,-5,A,America/Toronto,airport,OurAirports
95,96,Matagami Airport,Matagami,Canada,YNM,49.76169967651367,-77.80280303955078,918,-5,A,America/Toronto,airport,OurAirports
96,97,Old Crow Airport,Old Crow,Canada,YOC,67.57060241699219,-139.83900451660156,824,-8,A,America/Vancouver,airport,OurAirports
97,98,CFB Cold Lake,Cold Lake,Canada,YOD,54.40499877929688,-110.27899932861328,1775,-7,A,America/Edmonton,airport,OurAirports
98,99,High Level Airport,High Level,Canada,YOJ,58.62139892578125,-117.16500091552734,1110,-7,A,America/Edmonton,airport,OurAirports
99,100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.3224983215332,-75.66919708251953,374,-5,A,America/Toronto,airport,OurAirports
100,101,Prince Albert Glass Field,Prince Albert,Canada,YPA,53.2141990662,-105.672996521,1405,-6,N,America/Regina,airport,OurAirports
101,102,Peace River Airport,Peace River,Canada,YPE,56.226898,-117.446999,1873,-7,A,America/Edmonton,airport,OurAirports
102,103,Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817,885,-6,A,America/Winnipeg,airport,OurAirports
103,104,Pitt Meadows Airport,Pitt Meadows,Canada,,49.21609878540039,-122.70999908447266,11,-8,A,America/Vancouver,airport,OurAirports
104,105,Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4463996887207,-90.21420288085938,1267,-5,A,America/Coral_Harbour,airport,OurAirports
105,106,Port Menier Airport,Port Menier,Canada,YPN,49.83639907836914,-64.2885971069336,167,-5,A,America/Toronto,airport,OurAirports
106,107,Peterborough Airport,Peterborough,Canada,YPQ,44.22999954223633,-78.36329650878906,628,-5,A,America/Toronto,airport,OurAirports
107,108,Prince Rupert Airport,Prince Pupert,Canada,YPR,54.2860984802,-130.445007324,116,-8,A,America/Vancouver,airport,OurAirports
108,109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.7672004699707,-111.11699676513672,761,-7,A,America/Edmonton,airport,OurAirports
109,110,Muskoka Airport,Muskoka,Canada,YQA,44.974700927734375,-79.30329895019531,925,-5,A,America/Toronto,airport,OurAirports
110,111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303,244,-5,A,America/Toronto,airport,OurAirports
111,112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220138549805,-113.8939971923828,2968,-7,A,America/Edmonton,airport,OurAirports
112,113,Windsor Airport,Windsor,Canada,YQG,42.27560043334961,-82.95559692382812,622,-5,A,America/Toronto,airport,OurAirports
113,114,Watson Lake Airport,Watson Lake,Canada,YQH,60.11640167236328,-128.82200622558594,2255,-8,A,America/Vancouver,airport,OurAirports
114,115,Kenora Airport,Kenora,Canada,YQK,49.78829956054688,-94.36309814453124,1332,-6,A,America/Winnipeg,airport,OurAirports
